"ambivalence"	"neutral"	"twosided"
-0.973316192627	1	0
1.434537768364	1	0
-0.303602337837	1	0
2.812432289124	1	0
1.68115067482	1	0
4.221220493317	1	0
-0.13375723362	1	0
4.817669391632	1	0
1.252730727196	1	0
-0.622748732567	1	0
-0.578239321709	1	0
1.560659885406	1	0
2.3363904953	1	0
0.618727564812	1	0
0.239323437214	1	0
1.316821098328	1	0
-0.59340274334	0	1
2.050987243652	0	1
0.142101049423	0	1
3.564239025116	0	1
2.321826219559	0	1
5.111419677734	0	1
0.328630685806	0	1
5.766461372375	0	1
1.851320385933	0	1
-0.20839703083	0	1
-0.159514904022	0	1
2.189498901367	0	1
3.041433334351	0	1
1.155035853386	0	1
0.738361001015	0	1
